1961	317.64
1962	318.45
1963	318.99
1964	319.62
1965	320.04
1966	321.38
1967	322.16
1968	323.04
1969	324.62
1970	325.68
1971	326.32
1972	327.45
1973	329.68
1974	330.17
1975	331.09
1976	332.06
1977	333.78
1978	335.4
1979	336.77
1980	338.7
1981	340.1
1982	341.22
1983	342.84
1984	344.42
1985	346.04
1986	347.39
1987	349.16
1988	351.56
1989	353.07
1990	354.35
1991	355.57
1992	356.38
1993	357.07
1994	358.82
1995	360.8
1996	362.59
1997	363.71
1998	366.65
1999	368.33
2000	369.52
2001	371.13
2002	373.22
2003	375.77
2004	377.49
2005	379.8
2006	381.9
2007	383.76
2008	385.59
2009	387.38
2010	389.78
2011	391.57
2012	392.41
2013	395.15
2014	397.01
